sampleid	condition
GTEX.XV7Q.2326.SM.4BRVZ	Healthy
GTEX.XOT4.0726.SM.4GIAW	Healthy
GTEX.SE5C.2126.SM.4BRUJ	Healthy
GTEX.RU72.0626.SM.46MUI	Healthy
GTEX.U3ZN.1926.SM.4DXSG	Healthy
GTEX.WXYG.2226.SM.4E3IM	Healthy
GTEX.Q2AG.0326.SM.48U1O	Healthy
GTEX.S32W.2026.SM.4AD6E	Healthy
GTEX.QDT8.0626.SM.48TYW	Healthy
GTEX.XYKS.1326.SM.4BRUN	Healthy
GTEX.S341.1526.SM.4AD6K	Healthy
GTEX.R53T.1526.SM.48FEK	Healthy
GTEX.RWS6.1926.SM.47JXY	Healthy
GTEX.XUW1.2326.SM.4BOO5	Healthy
GTEX.S4P3.1326.SM.4AD6V	Healthy
GTEX.S4UY.0726.SM.4AD6X	Healthy
GTEX.T5JW.2026.SM.4DM63	Healthy
GTEX.QVJO.1826.SM.447C9	Healthy
GTEX.XUJ4.1926.SM.4BOOV	Healthy
GTEX.XUZC.1626.SM.4BRVP	Healthy
GTEX.R3RS.0626.SM.48FE1	Healthy
GTEX.11ZTT.2326.SM.5EQLG	Healthy
GTEX.13NZ8.0126.SM.5IJCT	Healthy
GTEX.14AS3.1626.SM.5S2OY	Healthy
GTEX.133LE.1726.SM.5K7VQ	Healthy
GTEX.ZF29.1926.SM.5S2P1	Healthy
GTEX.ZPIC.1126.SM.5BC7F	Healthy
GTEX.131XW.0726.SM.5EGK3	Healthy
GTEX.1122O.1226.SM.5H113	Healthy
GTEX.ZZPU.0626.SM.5E43T	Healthy
GTEX.RU1J.0626.SM.4WAWY	Healthy
GTEX.131YS.0626.SM.5EGKL	Healthy
GTEX.11EM3.1326.SM.5N9C6	Healthy
GTEX.13FTY.2226.SM.5J1ND	Healthy
GTEX.13PL6.2926.SM.5L3I2	Healthy
GTEX.Y5LM.1726.SM.4VDSX	Healthy
GTEX.ZV6S.1826.SM.5NQ8D	Healthy
GTEX.ZXES.0826.SM.5E43C	Healthy
GTEX.1117F.2826.SM.5GZXL	Healthy
GTEX.11ILO.2226.SM.5A5L1	Healthy
GTEX.12WSB.0626.SM.59HJO	Healthy
GTEX.1399U.1826.SM.5PNZ1	Healthy
GTEX.ZVT4.1026.SM.57WC4	Healthy
GTEX.11P81.1926.SM.5BC53	Healthy
GTEX.ZAJG.0626.SM.5HL8X	Healthy
GTEX.ZYWO.2326.SM.5GZY4	Healthy
GTEX.13QIC.2326.SM.5LU5N	Healthy
GTEX.13113.1726.SM.5GCOO	Healthy
GTEX.1313W.0826.SM.5EQ4T	Healthy
GTEX.13D11.1026.SM.5IJFB	Healthy
GTEX.ZC5H.2626.SM.5J2MG	Healthy
GTEX.1211K.1926.SM.5EQLB	Healthy
GTEX.ZLV1.1426.SM.4WWES	Healthy
GTEX.13CF3.2126.SM.5IFJP	Healthy
GTEX.Y3IK.2326.SM.4WWDT	Healthy
GTEX.ZVZQ.0826.SM.51MRF	Healthy
