featureid	Intercept	condition[T.NAT]
1/2-SBSRNA4	2.696043577298882	1.4861493168548492
A1BG	-1.1641747092154002	-0.24470686333619085
A1BG-AS1	-2.3141707514669854	-0.6440827788635346
A2LD1	-1.7047237490560985	0.6078045426086334
A2M	3.850541319951776	-0.6778247298523041
A2ML1	-2.9050802325155693	-1.2794747294708344
A4GALT	0.8072416449639839	-0.9661085547729584
AAAS	1.2809967661950612	-0.3664476813598725
AACS	0.4096859360787892	0.3906081972793487
AADAT	-0.5480567549612481	-0.1285514773651215
AAGAB	0.9836103583428901	0.3451813517288116
AAK1	1.9584191108796638	0.3999193964675811
AAMP	1.866484251127007	0.35371494872130427
AARS	2.4713597709987187	0.1273856220916656
AARS2	0.5120056534860176	-0.06894742863617864
AARSD1	0.3588128949258351	0.2396736202911285
AASDH	0.0026751423928761398	0.1819304285720733
AASDHPPT	0.457722988233332	0.49488616568602595
AASS	1.3361831570718312	-0.7134418429657075
AATF	0.6314323807809394	0.5287128744796661
AATK	0.10778316508269548	-1.0283873023315522
ABAT	1.3450489903543037	0.9988022504524139
ABCA1	1.017949547872309	-0.17752146141968694
ABCA10	0.4952577019784492	-1.854314798287973
ABCA11P	-0.3144315813925225	-0.2858735265060517
ABCA13	0.20149764071440934	-0.6567361296936127
ABCA17P	-2.023537549867866	-0.21895753758393255
ABCA2	2.4326044584367317	-0.08234249966584173
ABCA3	2.203413751230004	-0.08023368733368841
ABCA4	-2.020460042848823	-0.31763803379975286
ABCA5	1.164182629689936	-0.48109018223725286
ABCA6	0.8384803200814765	-1.5161974372192475
ABCA7	1.2747180129144233	-0.7607042731567475
ABCA8	1.5994128848168874	-0.8647537173553559
ABCA9	1.2703982258889717	-1.5659649314209076
ABCB1	-0.40177193631195784	-0.46081780808411565
ABCB10	-0.22542539586090804	0.1393482742980865
ABCB4	-2.2226676081564403	-0.22207593338929144
ABCB6	1.3853635455224556	-0.5698530616088959
ABCB7	0.2023764515969777	0.09020758254088435
ABCB8	1.1902880335900825	-0.13414596932373968
ABCB9	-1.0687669848349053	-0.14355754273377386
ABCC1	1.9977516199204945	-0.15914940255127874
ABCC10	0.9217648173425239	-0.5925886573120209
ABCC2	-1.9606298540976006	-1.2462150992675873
ABCC3	1.698848512277367	-1.633965724877939
ABCC4	-0.31888619412445607	0.7675902901367095
ABCC5	0.9888311291787648	-1.2626202048584076
ABCC6	-0.537826213732	0.08977699858702692
ABCC8	0.15836509715056657	-0.5756847800537201
ABCC9	0.7084220315072578	-0.9407484473510834
ABCD1	-0.05164471615814925	-0.08824777024231878
ABCD2	-2.727366838350532	0.12239826304472956
ABCD3	0.9265159035775685	0.4180376587585357
ABCD4	1.4115276003930592	-0.41384910958252874
ABCE1	0.6507864857766652	0.19081068617857966
ABCF1	1.603327121839289	0.007986074514761299
ABCF2	0.7265151406381154	0.09485614878691706
ABCF3	1.3454708720300221	0.014571791715994209
ABCG1	0.36962183962798356	-0.2974493445678803
ABCG2	-0.18740573872589827	-0.5461509169860932
ABCG4	-1.8310412501242137	-1.021558040551767
ABHD1	-2.5788005923178154	-0.07118689434967962
ABHD10	0.5407529736611867	0.62520975453414
ABHD11	1.258493390187983	-0.12053393738709417
ABHD12	2.0218612218949836	0.41682339293517146
ABHD13	0.09684118281340837	0.4505376873687652
ABHD14A	-0.06688323964142562	0.8957819996551422
ABHD14B	1.4641880656335378	0.6116536913589385
ABHD15	-0.06246343602204085	0.3950576840118316
ABHD16A	1.381955590352776	0.23246920687712702
ABHD16B	-0.815578374758001	-0.045543664865121514
ABHD2	1.6195071602914357	0.5987150130943206
ABHD3	0.49525007258391796	0.07161343676604304
ABHD4	1.2902426386926216	-0.09167384522400823
ABHD5	0.4102896119210744	0.5287191925720123
